ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2025-05-04T22:00:01.589120715Z,2025-05-04T22:00:01.588373173Z,0,1,42005804,T,B,0,20199.250000000,1,0,14326,20356,NQM5
2025-05-04T22:00:01.612429508Z,2025-05-04T22:00:01.611834721Z,0,1,42005804,T,B,0,20197.000000000,1,0,13987,20418,NQM5
2025-05-04T22:00:01.703298786Z,2025-05-04T22:00:01.702674829Z,0,1,42005804,T,B,0,20197.250000000,1,0,14440,20487,NQM5
2025-05-04T22:00:01.740423478Z,2025-05-04T22:00:01.739278335Z,0,1,42005804,T,A,0,20189.500000000,4,0,14798,20527,NQM5
2025-05-04T22:00:01.740423478Z,2025-05-04T22:00:01.739278335Z,0,1,42005804,T,A,0,20189.250000000,5,0,14798,20527,NQM5
2025-05-04T22:00:01.740423478Z,2025-05-04T22:00:01.739278335Z,0,1,42005804,T,A,0,20187.500000000,1,0,14798,20527,NQM5
2025-05-04T22:00:01.882407886Z,2025-05-04T22:00:01.881767733Z,0,1,42005804,T,A,0,20187.500000000,3,0,14455,20678,NQM5
2025-05-04T22:00:02.577581892Z,2025-05-04T22:00:02.577049161Z,0,1,42005804,T,A,0,20188.750000000,3,0,13829,21512,NQM5
2025-05-04T22:00:02.744674518Z,2025-05-04T22:00:02.744134181Z,0,1,42005804,T,B,0,20193.500000000,2,0,14281,21833,NQM5
2025-05-04T22:00:02.854877409Z,2025-05-04T22:00:02.853400117Z,0,1,42005804,T,B,0,20198.500000000,3,0,14960,22001,NQM5
2025-05-04T22:00:03.352690877Z,2025-05-04T22:00:03.352276651Z,0,1,42005804,T,B,0,20190.000000000,1,0,13790,22747,NQM5
2025-05-04T22:00:03.355442875Z,2025-05-04T22:00:03.354926171Z,0,1,42005804,T,A,0,20187.500000000,1,0,13856,22818,NQM5
2025-05-04T22:00:03.356068470Z,2025-05-04T22:00:03.355472173Z,0,1,42005804,T,A,0,20187.750000000,1,0,13058,22844,NQM5
2025-05-04T22:00:03.460239496Z,2025-05-04T22:00:03.459746759Z,0,1,42005804,T,A,0,20183.250000000,2,0,13837,23058,NQM5
